Team_1,Team_2,attempts_off_target_1,attempts_off_target_2,attempts_on_target_1,attempts_on_target_2,clearances_1,clearances_2,goals_against_1,goals_against_2,goals_scored_1,goals_scored_2,matches_played_1,matches_played_2,results,shots_attempted_1,shots_attempted_2,shots_blocked_1,shots_blocked_2
Russia,Saudi Arabia,16,16,19,10,176,67,7,7,10,2,5,3,1,46,36,11,10
Egypt,Uruguay,17,26,5,22,95,109,6,3,2,6,3,5,0,29,61,7,13
Morocco,Iran,18,15,10,4,62,91,4,2,2,1,3,3,0,35,21,7,2
Portugal,Spain,20,28,14,21,87,36,6,6,6,6,4,4,0,52,70,18,21
France,Australia,27,14,19,8,135,83,4,5,8,2,5,3,1,56,32,10,10
Argentina,Iceland,16,19,18,12,72,80,9,5,6,2,4,3,1,53,36,19,5
Peru,Denmark,14,22,11,12,60,105,2,2,2,3,3,4,0,32,40,7,6
Croatia,Nigeria,39,16,19,9,144,96,4,4,9,3,5,3,1,78,39,20,14
Costa Rica,Serbia,13,17,9,7,97,76,5,4,1,2,3,3,0,28,32,6,8
Germany,Mexico,24,24,20,13,35,95,4,6,2,3,3,4,0,67,57,23,20
Brazil,Switzerland,35,22,38,14,91,64,3,5,8,5,5,4,1,103,56,30,20
Sweden,Korea Republic,22,9,21,11,187,94,4,3,5,3,5,3,1,55,33,12,13
Belgium,Panama,32,13,33,8,105,73,5,11,13,1,5,3,1,85,23,20,2
Tunisia,England,13,30,13,19,58,78,8,4,5,11,3,5,0,36,70,10,21
Columbia,Japan,14,15,12,16,103,122,3,7,6,6,4,4,0,39,42,13,11
Poland,Senegal,13,13,8,12,74,93,5,4,2,3,3,3,0,30,30,9,5
Russia,Egypt,16,17,19,5,176,95,7,6,10,2,5,3,1,46,29,11,7
Portugal,Morocco,20,18,14,10,87,62,6,4,6,2,4,3,1,52,35,18,7
Uruguay,Saudi Arabia,26,16,22,10,109,67,3,7,6,2,5,3,1,61,36,13,10
Iran,Spain,15,28,4,21,91,36,2,6,1,6,3,4,0,21,70,2,21
Denmark,Australia,22,14,12,8,105,83,2,5,3,2,4,3,1,40,32,6,10
France,Peru,27,14,19,11,135,60,4,2,8,2,5,3,1,56,32,10,7
Argentina,Croatia,16,39,18,19,72,144,9,4,6,9,4,5,0,53,78,19,20
Brazil,Costa Rica,35,13,38,9,91,97,3,5,8,1,5,3,1,103,28,30,6
Nigeria,Iceland,16,19,9,12,96,80,4,5,3,2,3,3,1,39,36,14,5
Serbia,Switzerland,17,22,7,14,76,64,4,5,2,5,3,4,0,32,56,8,20
Belgium,Tunisia,32,13,33,13,105,58,5,8,13,5,5,3,1,85,36,20,10
Korea Republic,Mexico,9,24,11,13,94,95,3,6,3,3,3,4,0,33,57,13,20
Germany,Sweden,24,22,20,21,35,187,4,4,2,5,3,5,1,67,55,23,12
England,Panama,30,13,19,8,78,73,4,11,11,1,5,3,1,70,23,21,2
Japan,Senegal,15,13,16,12,122,93,7,4,6,3,4,3,1,42,30,11,5
Poland,Columbia,13,14,8,12,74,103,5,3,2,6,3,4,0,30,39,9,13
Uruguay,Russia,26,16,22,19,109,176,3,7,6,10,5,5,1,61,46,13,11
Saudi Arabia,Egypt,16,17,10,5,67,95,7,6,2,2,3,3,1,36,29,10,7
Spain,Morocco,28,18,21,10,36,62,6,4,6,2,4,3,1,70,35,21,7
Iran,Portugal,15,20,4,14,91,87,2,6,1,6,3,4,0,21,52,2,18
Australia,Peru,14,14,8,11,83,60,5,2,2,2,3,3,0,32,32,10,7
Denmark,France,22,27,12,19,105,135,2,4,3,8,4,5,0,40,56,6,10
Nigeria,Argentina,16,16,9,18,96,72,4,9,3,6,3,4,0,39,53,14,19
Iceland,Croatia,19,39,12,19,80,144,5,4,2,9,3,5,0,36,78,5,20
Korea Republic,Germany,9,24,11,20,94,35,3,4,3,2,3,3,1,33,67,13,23
Mexico,Sweden,24,22,13,21,95,187,6,4,3,5,4,5,0,57,55,20,12
Serbia,Brazil,17,35,7,38,76,91,4,3,2,8,3,5,0,32,103,8,30
Switzerland,Costa Rica,22,13,14,9,64,97,5,5,5,1,4,3,1,56,28,20,6
Japan,Poland,15,13,16,8,122,74,7,5,6,2,4,3,0,42,30,11,9
Senegal,Columbia,13,14,12,12,93,103,4,3,3,6,3,4,0,30,39,5,13
Panama,Tunisia,13,13,8,13,73,58,11,8,1,5,3,3,0,23,36,2,10
England,Belgium,30,32,19,33,78,105,4,5,11,13,5,5,0,70,85,21,20
France,Argentina,27,16,19,18,135,72,4,9,8,6,5,4,1,56,53,10,19
Uruguay,Portugal,26,20,22,14,109,87,3,6,6,6,5,4,1,61,52,13,18
Spain,Russia,28,16,21,19,36,176,6,7,6,10,4,5,0,70,46,21,11
Croatia,Denmark,39,22,19,12,144,105,4,2,9,3,5,4,1,78,40,20,6
Spain,Mexico,28,24,21,13,36,95,6,6,6,3,4,4,1,70,57,21,20
Belgium,Japan,32,15,33,16,105,122,5,7,13,6,5,4,1,85,42,20,11
Sweden,Switzerland,22,22,21,14,187,64,4,5,5,5,5,4,1,55,56,12,20
Columbia,England,14,30,12,19,103,78,3,4,6,11,4,5,0,39,70,13,21
Uruguay,France,26,27,22,19,109,135,3,4,6,8,5,5,0,61,56,13,10
Brazil,Belgium,35,32,38,33,91,105,3,5,8,13,5,5,0,103,85,30,20
Sweden,England,22,30,21,19,187,78,4,4,5,11,5,5,0,55,70,12,21
Russia,Croatia,16,39,19,19,176,144,7,4,10,9,5,5,0,46,78,11,20
