Team,matches_played,goals_scored,goals_against,shots_attempted,attempts_on_target,attempts_off_target,shots_blocked,clearances
Belgium,4,12,4,77,30,29,18,64
England,4,9,4,58,17,26,15,56
Russia,4,8,5,33,12,12,9,133
Croatia,4,7,2,61,16,29,16,117
Brazil,4,7,1,77,29,28,20,84
Uruguay,4,6,1,50,18,20,12,88
France,4,6,4,45,17,20,8,84
Spain,4,6,6,70,21,28,21,36
Sweden,4,5,2,48,18,19,11,150
Columbia,4,6,3,39,12,14,13,103
Portugal,4,6,6,52,14,20,18,87
Japan,4,6,7,42,16,15,11,122
Argentina,4,6,9,53,18,16,19,72
Switzerland,4,5,5,56,14,22,20,64
Tunisia,3,5,8,36,13,13,10,58
Senegal,3,3,4,30,12,13,5,93
Denmark,4,3,2,40,12,22,6,105
Korea Republic,3,3,3,33,11,9,13,94
Nigeria,3,3,4,39,9,16,14,96
Mexico,4,3,6,57,13,24,20,95
Iran,3,1,2,21,4,15,2,91
Peru,3,2,2,32,11,14,7,60
Morocco,3,2,4,35,10,18,7,62
Germany,3,2,4,67,20,24,23,35
Serbia,3,2,4,32,7,17,8,76
Costa Rica,3,1,5,28,9,13,6,97
Iceland,3,2,5,36,12,19,5,80
Poland,3,2,5,30,8,13,9,74
Australia,3,2,5,32,8,14,10,83
Egypt,3,2,6,29,5,17,7,95
Saudi Arabia,3,2,7,36,10,16,10,67
Panama,3,1,11,23,8,13,2,73
